Scenario,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,median_exec_time_mean,median_exec_time_CI95_lower,median_exec_time_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper
S13,5,0.9981943818939591,0.9893087964734428,1.0070799673144755,13.012721796567186,12.687079240717791,13.338364352416582,162.35565307135138,159.45770655155962,165.25359959114314
S14,5,1.2297115523296382,1.2231147559387165,1.23630834872056,20.70291117427241,19.903958331663475,21.501864016881342,243.3126417278576,241.6813777696542,244.943905686061
S15,5,1.4952498378231955,1.4886877074545686,1.5018119681918225,28.653451019793284,26.872341625115077,30.43456041447149,255.7119335022458,252.36164940114705,259.06221760334455
S16,5,0.5544961190761979,0.5483873988813279,0.5606048392710679,9.111543792077214,8.639145555979791,9.583942028174636,32.992116443644846,31.78460961704209,34.1996232702476
S17,5,0.6156816956723734,0.6106241894144598,0.620739201930287,11.999901891361787,11.430823174505694,12.568980608217881,81.8947575149352,79.81802589994125,83.97148912992914
S18,5,0.7447094437829047,0.7400250755693241,0.7493938119964854,17.323731240422283,16.44164402176752,18.205818459077047,136.06382196942576,133.741192692581,138.38645124627052
S19,5,0.9123275954637527,0.9068419474134002,0.9178132435141053,26.869007424556607,25.434398631327678,28.303616217785535,165.704845627436,164.41958452670934,166.99010672816263
S20,5,1.0794416425578095,1.0664991138254207,1.0923841712901983,26.735037366685678,24.89038914624898,28.579685587122373,140.98757463992857,136.2067360375147,145.76841324234243
S21,5,0.3514395693811417,0.34727535157364325,0.3556037871886401,10.71354640318118,10.36169880041622,11.06539400594614,31.151803651990708,30.183415806904712,32.1201914970767
S22,5,0.4193293894855318,0.4153674553618244,0.42329132360923916,16.114237070918808,15.367589520551089,16.860884621286527,66.6775860736386,64.99911488029117,68.35605726698601
S23,5,0.513318924464163,0.5117338583188382,0.5149039906094879,24.93684241274004,23.728785267821706,26.144899557658377,89.12632928212233,88.48831825562658,89.76434030861807
S24,5,0.6200636963396386,0.6145766045395257,0.6255507881397516,28.980980269446725,26.713658000362567,31.248302538530883,87.73926765078261,86.18322958918421,89.29530571238101
S25,5,0.685154124164304,0.6757917414863083,0.6945165068422997,23.702714325693613,22.028302103301282,25.377126548085943,37.779666649318365,32.193990331660125,43.365342966976606
S26,5,3.7508267877456687,3.658402129451371,3.8432514460399663,20.19270727858452,19.097439392650873,21.28797516451817,10.708698253712017,6.057515298197494,15.35988120922654
S27,5,3.819743227243842,3.753515789372226,3.8859706651154577,20.354984837904706,19.03348381841969,21.67648585738972,22.28213318018077,16.66936232791987,27.894904032441673
S28,5,3.929704286766077,3.8652231176981444,3.99418545583401,20.48584221513356,19.45576902216826,21.51591540809886,40.42790700619382,34.37437852662929,46.48143548575835
S29,5,4.139894198325753,4.112005572563557,4.167782824087949,21.138003752910755,20.211351733143115,22.064655772678396,81.20017214056324,77.28747570128765,85.11286857983883
S30,5,4.652027434931762,4.604292407172548,4.699762462690976,21.87485975687789,20.8226019653577,22.92711754839808,151.90202186978007,149.07158256566086,154.73246117389928
S31,5,1.939410507650018,1.8982416522130456,1.9805793630869906,20.496344805138552,19.377141108507907,21.615548501769197,8.65852989937912,5.866903596207196,11.450156202551044
S32,5,1.9833024268983444,1.9509269012905484,2.0156779525061403,20.726885136837552,19.553773565318533,21.89999670835657,19.26176689623502,16.567255121703187,21.956278670766853
S33,5,2.072773661232528,2.0635121121649282,2.082035210300128,21.38749608424377,20.267307644074787,22.507684524412756,38.68950174535341,37.11097468695733,40.268028803749495
S34,5,2.323724259364696,2.3035702729048033,2.3438782458245884,21.91626800149934,20.849282404172687,22.983253598825993,74.77062741216513,72.68631808282792,76.85493674150233
S35,5,2.721260545823083,2.7019033569522475,2.740617734693919,23.348823668222572,22.21107925316952,24.486568083275625,126.87906810972152,124.67236918967144,129.0857670297716
S36,5,0.9898761514425536,0.9769444919597001,1.002807810925407,20.93371815608298,19.724364488004042,22.143071824161915,7.438913416841406,6.867272816356357,8.010554017326456
S37,5,1.0419054891973492,1.0330052913927859,1.0508056870019125,21.7680577811776,20.59513266913774,22.94098289321746,18.5613375984057,17.69760954702333,19.42506564978807
S38,5,1.1583406430703902,1.1456793281920186,1.1710019579487618,22.354171799800497,21.26424773731463,23.444095862286364,36.42482429263755,35.70965062640851,37.139997958866594
S39,5,1.351398640636568,1.3385692252509849,1.364228056022151,23.745223339626683,22.416301457615806,25.07414522163756,60.777224504531695,59.00529728915925,62.54915171990414
S40,5,1.5671639546156375,1.5544871191988963,1.5798407900323788,24.52761816392785,23.262220190790924,25.79301613706478,73.80471979063684,71.91489104780963,75.69454853346404
S41,5,0.6757703734308074,0.6648777337797551,0.6866630130818596,21.234050015142905,20.30447357776956,22.16362645251625,7.440568928827931,6.622031132848241,8.259106724807621
S42,5,0.7328015444730431,0.7266941730400354,0.7389089159060509,22.282752958206764,21.27751208680581,23.287993829607718,17.984428892418343,17.325806742687647,18.64305104214904
S43,5,0.8387611976004775,0.8299184689270102,0.8476039262739449,22.98546145478274,21.596264112341302,24.37465879722418,32.42762348775922,31.656226841607808,33.19902013391063
S44,5,0.9844909305399416,0.9733334844370086,0.9956483766428746,24.334307203359334,23.05108325817236,25.61753114854631,46.35148371722899,44.96159011941998,47.741377315037994
S45,5,1.10302364603006,1.0931839713791396,1.1128633206809804,24.26751544299284,22.88842349193835,25.646607394047326,40.02438392014734,38.459753448634665,41.58901439166002
S46,5,0.4246272689405426,0.4212359653726285,0.4280185725084567,21.96335355934243,20.589850944485487,23.336856174199372,6.938515686320346,6.5324131061775725,7.34461826646312
S47,5,0.4815217871293259,0.47565418522837494,0.4873893890302769,23.265557668714973,22.093805586600666,24.43730975082928,16.059072037207862,15.625182272162338,16.492961802253387
S48,5,0.5628089103587148,0.5587875691916726,0.5668302515257571,24.307628146231856,22.99025130891918,25.62500498354453,24.50390062770487,23.864421596249503,25.143379659160235
S49,5,0.6446809755113078,0.6401335378629157,0.6492284131596998,24.861087364011905,23.42738454273887,26.29479018528494,25.15954694117659,24.61473382872941,25.70436005362377
S50,5,0.6895537784888598,0.680616830616937,0.6984907263607826,23.09431335299921,21.656321757899907,24.532304948098517,10.345357035956216,8.423901202559804,12.266812869352627
S51,5,3.795581548478319,3.707352347051204,3.883810749905434,22.958792672580785,21.55581276366809,24.36177258149348,5.174857316207368,2.673743116710456,7.67597151570428
S52,5,3.8583578288102887,3.8021172382133503,3.914598419407227,23.240380625117314,21.76589430999649,24.71486694023814,11.29518515095561,8.706090355560125,13.884279946351096
