Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,price_volatility_mean,price_volatility_CI95_lower,price_volatility_CI95_upper,depth_within_5_ticks_mean,depth_within_5_ticks_CI95_lower,depth_within_5_ticks_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper,mm_final_inventory_mean,mm_final_inventory_CI95_lower,mm_final_inventory_CI95_upper,mm_realized_spread_mean,mm_realized_spread_CI95_lower,mm_realized_spread_CI95_upper
S104,30.0,0.05,1.0,5,4.20890871636008,4.178108963827089,4.23970846889307,3.394121276016487e-05,2.126958860306896e-05,4.661283691726079e-05,0.0,0.0,0.0,13.347601214813494,12.329537433300471,14.365664996326515,2.2,-12.864613506787537,17.264613506787537,-0.7637058539815443,-0.7869924814194315,-0.7404192265436572
S105,30.0,0.05,2.0,5,4.733962163982156,4.661904953317042,4.80601937464727,3.2276156055096844e-05,1.915689265887428e-05,4.539541945131941e-05,0.0,0.0,0.0,25.634069712176377,24.691934580512854,26.5762048438399,-4.8,-9.874138586013448,0.2741385860134491,-1.6387455597540108,-1.6715529663724666,-1.605938153135555
S106,30.0,0.1,0.1,5,1.9541851327757973,1.8924415939667447,2.01592867158485,1.3481052918091824e-05,1.10715377614652e-05,1.5890568074718446e-05,0.8,-1.4211560841582391,3.021156084158239,1.3671518250651995,0.7619801022664907,1.9723235478639085,0.4,-13.773473527047903,14.573473527047904,-0.0399209218289061,-0.091030977021898,0.0111891333640857
S107,30.0,0.1,0.25,5,2.0054732181351422,1.9662197484469184,2.0447266878233665,1.297893037399322e-05,1.0308029263175276e-05,1.5649831484811164e-05,0.8,-1.4211560841582391,3.021156084158239,3.3616285068056526,2.897400969201574,3.8258560444097314,-0.4,-12.616358462870313,11.816358462870312,-0.1619881458384887,-0.1856237620191279,-0.1383525296578495
S108,30.0,0.1,0.5,5,2.1045555313756696,2.0821288112557177,2.1269822514956216,1.18718838525835e-05,9.365526143717867e-06,1.437824156144913e-05,0.0,0.0,0.0,6.466733228580547,5.795541463388634,7.13792499377246,0.4,-9.517779041044228,10.317779041044227,-0.3807962254748717,-0.4003353579528196,-0.3612570929969237
S109,30.0,0.1,1.0,5,2.355570331754662,2.3229760512390487,2.3881646122702755,1.101351594206043e-05,8.34140092649955e-06,1.368563095762131e-05,0.0,0.0,0.0,12.48941905894226,12.165345472320634,12.813492645563883,-4.0,-9.889729484432682,1.8897294844326813,-0.8070134111854893,-0.8243289783083538,-0.7896978440626248
S11,1.0,0.2,0.1,5,0.7981140236614047,0.7860241123759476,0.8102039349468618,1.726512579990017e-06,1.605346558357366e-06,1.847678601622668e-06,0.0,0.0,0.0,34.63321257947284,31.901751519190483,37.3646736397552,1.6,-2.9282449296598707,6.128244929659871,-0.0456121350975811,-0.0478690869249646,-0.0433551832701976
S110,30.0,0.1,2.0,5,2.7583903398044187,2.720410123039962,2.7963705565688755,1.2197314472885497e-05,8.84654692406939e-06,1.55480820217016e-05,0.0,0.0,0.0,21.58325227198016,20.921297214507305,22.24520732945301,-2.0,-8.511340938852188,4.511340938852188,-1.4320246810560855,-1.4401935368663294,-1.423855825245842
S111,30.0,0.2,0.1,5,1.0009635390061309,0.983618193583556,1.0183088844287058,4.0731851199190665e-06,3.7115497060763673e-06,4.434820533761766e-06,0.0,0.0,0.0,1.2563293488465803,1.0874969204871563,1.4251617772060046,1.8,-4.555573340950958,8.155573340950959,-0.071848608391839,-0.0871165315325357,-0.0565806852511424
S112,30.0,0.2,0.25,5,1.0583513967447458,1.0473679885519205,1.069334804937571,3.816228304352505e-06,3.315865912056971e-06,4.316590696648039e-06,0.0,0.0,0.0,3.0963083841282497,2.8178467558225035,3.374770012433996,0.0,-4.808943986628504,4.808943986628504,-0.1911100199543134,-0.2008730438068813,-0.1813469961017456
S113,30.0,0.2,0.5,5,1.168877518368515,1.148821717680486,1.188933319056544,3.439426315428746e-06,2.949090030084044e-06,3.929762600773448e-06,0.0,0.0,0.0,6.056846149457742,5.766710393360551,6.346981905554934,-3.8,-8.311189332598088,0.7111893325980887,-0.3952995262445813,-0.4084501258697338,-0.3821489266194288
